t,p,v,theta,omega,u,v_command,solve_ms,qp_ms
37.0,0.04129574018602756,3.6780209949114144e-14,-4.8878030624578844e-15,4.1965845603188955e-15,-3.788900884904782e-14,0.0,6.904099998791935,6.7710000002989545
37.2,0.04129574018603443,3.1702241684155454e-14,-4.2114711361350844e-15,3.6126328193252454e-15,-3.263577751333538e-14,0.0,6.262899998546345,6.125899999460671
37.4,0.04129574018604035,2.732480670745892e-14,-3.6286542494322556e-15,3.1168199591874496e-15,-2.8126115220582215e-14,0.0,6.181999999171239,6.05840000025637
37.6,0.04129574018604545,2.35585549029681e-14,-3.127550519604488e-15,2.6691377986425284e-15,-2.421964922731173e-14,0.0,6.3200999993568985,6.185599999298574
37.800000000000004,0.04129574018604985,2.0306892623681372e-14,-2.6972882799191812e-15,2.2988538474467e-15,-2.089467403462616e-14,0.0,6.0945000004721805,5.967000000964617
38.0,0.041295740186053635,1.7499016452868696e-14,-2.3255989947072493e-15,1.9928294413873805e-15,-1.8029612544303385e-14,0.0,6.371600000420585,6.260299998757546
38.2,0.0412957401860569,1.5082196805750625e-14,-2.00435132317572e-15,1.71643342504852e-15,-1.5531254522217797e-14,0.0,6.620300000577117,6.487799999376875
38.400000000000006,0.04129574018605972,1.2995061580509475e-14,-1.7262306588605282e-15,1.4948665903403158e-15,-1.3395923646041055e-14,0.0,6.949999999051215,6.795299999794224
38.6,0.04129574018606214,1.1206106611854292e-14,-1.48628563909222e-15,1.275641122819759e-15,-1.1510643896127198e-14,0.0,6.664299999101786,6.511100000352599
38.800000000000004,0.04129574018606423,9.664755622005836e-15,-1.2817040764427435e-15,1.0865450056442323e-15,-9.917697018062917e-15,0.0,6.379299999025534,6.23509999968519
39.0,0.041295740186066035,8.329488092830174e-15,-1.1059401717213804e-15,9.429001322289142e-16,-8.572033372177778e-15,0.0,8.935699999710778,8.718500001123175
39.2,0.041295740186067596,7.175943552257777e-15,-9.526678486366053e-16,8.268475946893971e-16,-7.397593229648736e-15,0.0,6.721199999446981,6.576499999937369
39.400000000000006,0.04129574018606894,6.19111567286761e-15,-8.207322661312847e-16,6.965370095179064e-16,-6.34603405870467e-15,0.0,6.300500001088949,6.165499999042368
39.6,0.041295740186070094,5.332469915465807e-15,-7.067352283581472e-16,6.197214930875805e-16,-5.497113547845191e-15,0.0,6.032299999787938,5.900600001041312
39.800000000000004,0.041295740186071093,4.6044584868576966e-15,-6.084569535518968e-16,5.150414565652068e-16,-4.699290795913323e-15,0.0,6.376499999532825,6.26410000040778
40.0,0.04126322662626368,-0.00035527417828713667,0.00012640820978599793,0.0014595631972632484,-0.0008224867786492583,0.1,6.2796999991405755,6.164499998703832
40.2,0.0412135929790897,-0.00021410917825653711,0.00043278382120163735,0.002077980509085732,0.0014935565693631769,0.1,6.526499999381485,6.394900001396309
40.400000000000006,0.041248022575246915,0.0004707083926745225,0.0008006043600333791,0.0021690325811464847,0.0044132543097552684,0.1,8.205800000723684,8.0761999997776
40.6,0.04146873467714975,0.0016501416251011674,0.001162444989201782,0.0020089339172361543,0.007292213276410784,0.1,7.686200000534882,7.5392999988252996
40.800000000000004,0.04196718519069254,0.0032568958300330025,0.0014873624443225006,0.001742701838411173,0.009887399890591878,0.1,6.849900000815978,6.703999999444932
